documents,dimensions,top_k,ram_gb,branch_scale,method,modeled_ms,expected_matching_rows,expected_prefix_recall,insufficient_probability_upper_log10,leaf_size,break_even_scan_fraction,payload_lower_bytes,planning_index_bytes,scratch_bytes,reserve_bytes,planning_total_bytes,status
1000000,256,100,1000,2,branch,0.24987501092255113,122.0703125,0.9992377662023663,-0.9467846624357683,160,0.010105374097583287,72000000,80000512,1875000,1000000000.0,1081875512.0,modeled_fit
1000000,256,100,1000,2,branch_prefix,0.015330488963740169,122.0703125,0.9992377662023663,-0.9467846624357683,245,0.010105374097583287,72000000,100969472,65568,1000000000.0,1101035040.0,modeled_fit
100000000,256,100,32,1,scan_all,2472.694316010617,12207.03125,1.0,-2607.902349507449,0,0.0041254597364839265,4000000000,4800000512,65536,1000000000.0,5800066048.0,modeled_fit
100000000,256,100,32,1,scan_prefix,0.37296918799451495,12207.03125,1.0,-2607.902349507449,0,0.0041254597364839265,4000000000,4804194304,65536,1000000000.0,5804259840.0,modeled_fit
100000000,256,100,32,1,keys,0.3711259842040291,12207.03125,1.0,-2607.902349507449,0,0.0041254597364839265,4000000000,4800655872,65536,1000000000.0,5800721408.0,modeled_fit
100000000,256,100,32,1,branch,10.201000841334462,12207.03125,1.0,-2607.902349507449,16000,0.0041254597364839265,7200000000,8000000512,187500000,1000000000.0,9187500512.0,modeled_fit
100000000,256,100,32,1,branch_prefix,0.36300079756797327,12207.03125,1.0,-2607.902349507449,24415,0.0041254597364839265,7200000000,8020969472,68592,1000000000.0,9021038064.0,modeled_fit
100000000,256,100,64,1,scan_all,2472.694316010617,12207.03125,1.0,-2607.902349507449,0,0.0041254597364839265,4000000000,4800000512,65536,1000000000.0,5800066048.0,modeled_fit
100000000,256,100,64,1,scan_prefix,0.37296918799451495,12207.03125,1.0,-2607.902349507449,0,0.0041254597364839265,4000000000,4804194304,65536,1000000000.0,5804259840.0,modeled_fit
100000000,256,100,64,1,keys,0.3711259842040291,12207.03125,1.0,-2607.902349507449,0,0.0041254597364839265,4000000000,4800655872,65536,1000000000.0,5800721408.0,modeled_fit
100000000,256,100,64,1,branch,10.201000841334462,12207.03125,1.0,-2607.902349507449,16000,0.0041254597364839265,7200000000,8000000512,187500000,1000000000.0,9187500512.0,modeled_fit
